Feature,LIME_Score,LIME_Rank
ca,0.1314514337389998,1
cp,0.12550308964983184,2
thal,0.10613509648107528,3
age,0.08624015690244206,4
trestbps,0.0849053725328446,5
chol,0.08485650571194914,6
sex,0.020289488745407046,7
oldpeak,0.011958429489274612,8
restecg,0.005497986578355536,9
thalach,0.00509852429440742,10
slope,0.005079384682436873,11
fbs,0.004987611529968769,12
exang,0.0040113899716220916,13
