Feature,SHAP_Score,SHAP_Rank
thal,0.10688466053352859,1
ca,0.10352225248432832,2
thalach,0.07689537744096826,3
oldpeak,0.07348201341074857,4
exang,0.06921865124985344,5
sex,0.06313505073936401,6
cp,0.047834921673162015,7
trestbps,0.015565143688227557,8
age,0.014203450922396966,9
