Feature,RRF_Score,RRF_Rank
Glucose,0.04918032786885246,1
BMI,0.04838709677419355,2
Age,0.047619047619047616,3
DiabetesPedigreeFunction,0.046634615384615385,4
BloodPressure,0.04616113053613054,5
Insulin,0.04524201288907172,6
Pregnancies,0.04478277063878469,7
SkinThickness,0.04455662862159789,8
