Feature,LIME_Score,LIME_Rank
texture1,0.19800579179696381,1
concave_points1,0.19429177899927147,2
area1,0.12155979281570324,3
symmetry1,0.036417062851894666,4
smoothness1,0.0337057429610029,5
compactness1,0.025131563002056764,6
concavity1,0.018932926811493264,7
radius1,0.009900635852186934,8
perimeter1,0.004673327810415604,9
fractal_dimension1,0.004254367157042958,10
