Feature,LIME_Score,LIME_Rank
Glucose,0.19699989613355412,1
BMI,0.13165580258965387,2
Age,0.07308140905720877,3
DiabetesPedigreeFunction,0.055019822637524654,4
BloodPressure,0.03165753128118485,5
Insulin,0.006786920331210631,6
SkinThickness,0.0034803885428510276,7
Pregnancies,0.0029067385008946173,8
