Feature,SHAP_Score,SHAP_Rank
Glucose,0.17686187928769617,1
BMI,0.09662872544203858,2
Age,0.08235903170268133,3
DiabetesPedigreeFunction,0.04371255031399634,4
Insulin,0.03716950881571665,5
BloodPressure,0.02819601606797464,6
Pregnancies,0.014211292880074689,7
SkinThickness,0.013601643436672136,8
