Feature,LIME_Score,LIME_Rank
BS,0.34915550626976866,1
Age,0.06423495875647692,2
SystolicBP,0.04758594061925318,3
BodyTemp,0.011212705720539878,4
HeartRate,0.009689534951008022,5
DiastolicBP,0.00796748169665126,6
