,BAF/AF,SHAP,LIME,RRF
concave_points3,1,2,1,1
concave_points1,2,1,3,2
perimeter3,3,3,2,3
area3,4,4,7,4
radius3,5,5,5,5
concavity1,7,8,4,6
perimeter1,6,9,6,7
area1,8,7,8,8
radius1,9,6,9,9
