Feature,RRF_Score
concave_points3,0.048915917503966164
concave_points1,0.04839549075403121
perimeter3,0.04787506400409626
area3,0.04617537313432836
radius3,0.046153846153846156
concavity1,0.04525625548726953
perimeter1,0.04479578392621871
area1,0.044337137840210705
radius1,0.04413702239789197
