Feature,BAF_Score,BAF_Rank
BMI,0.39190930647567457,1
DiabetesPedigreeFunction,0.3854859628066449,2
Age,0.35617147430289714,3
BloodPressure,0.3507508100283353,4
Glucose,0.3459318566941373,5
Pregnancies,0.34574208793634603,6
SkinThickness,0.34574208793634603,7
Insulin,0.34574208793634603,8
