Feature,RRF_Score,RRF_Rank
Glucose,0.048651507139079855,1
BloodPressure,0.04841188524590165,2
SkinThickness,0.04762704813108039,3
Pregnancies,0.046897546897546896,4
Insulin,0.04639423076923077,5
BMI,0.0454615036704589,6
Age,0.04500226142017187,7
DiabetesPedigreeFunction,0.044117647058823525,8
