Feature,BAF_Score,BAF_Rank
Age,0.16868931504261056,1
BodyTemp,0.16868931504261056,2
HeartRate,0.16868931504261053,3
DiastolicBP,0.16761710135708646,4
BS,0.16525159419315377,5
SystolicBP,0.1610633593219282,6
