,BAF/AF,SHAP,LIME,RRF
Age,1,3,1,1
BodyTemp,2,1,2,2
HeartRate,3,2,3,3
DiastolicBP,4,4,5,4
SystolicBP,6,6,4,5
BS,5,5,6,6
