Feature,RRF_Score,RRF_Rank
Age,0.04865990111891752,1
BodyTemp,0.048651507139079855,2
HeartRate,0.04787506400409626,3
DiastolicBP,0.046634615384615385,4
SystolicBP,0.045928030303030304,5
BS,0.04592074592074592,6
