Feature,RRF_Score,RRF_Rank
ca,0.04727963886909005,1
thal,0.04692742126540875,2
cp,0.04670793048402157,3
sex,0.045934988518943745,4
oldpeak,0.045760287745334055,5
age,0.04513888888888889,6
trestbps,0.04495626139461756,7
thalach,0.04458874458874459,8
exang,0.044584826383125525,9
chol,0.030536130536130537,10
slope,0.028790389395194696,11
restecg,0.02877846790890269,12
fbs,0.02797339593114241,13
