Feature,BAF_Score,BAF_Rank
exang,0.3575724361575716,1
oldpeak,0.3460728231360176,2
trestbps,0.31413861010667166,3
age,0.31413861010667166,4
sex,0.3110699742609389,5
thalach,0.30804993576445117,6
thal,0.24435265608492,7
cp,0.20049842969163378,8
ca,0.16749959203199324,9
